     n         a(n)       res(n)
     1    1.0937500    0.8437500
     2   -0.8203125    0.0234375
     3    0.5639648    0.5874023
     4   -0.3665771    0.2208252
     5    0.2291107    0.4499359
     6   -0.1391029    0.3108330
     7    0.0825924    0.3934253
     8   -0.0481789    0.3452465
     9    0.0277029    0.3729493
    10   -0.0157403    0.3572091
    11    0.0088539    0.3660630
    12   -0.0049377    0.3611252
    13    0.0027334    0.3638586
    14   -0.0015034    0.3623552
    15    0.0008222    0.3631774
    16   -0.0004473    0.3627300
    17    0.0002423    0.3629724
    18   -0.0001307    0.3628416
    19    0.0000703    0.3629119
    20   -0.0000376    0.3628743
    21    0.0000201    0.3628944
